ISBN,Control Number,Title
9780062435040,  2014030560,Waiting / Kevin Henkes.
9780062436146,  2017932867,Biscuit and the big parade! / story by Alyssa Satin Capucilli ; pictures by Pat Schories.
9780062436153,  2017932867,Biscuit and the big parade! / story by Alyssa Satin Capucilli ; pictures by Pat Schories.
9780062443410,  2017288828,Orphan Island / Laurel Snyder.
9780062445834,022619090906,A Boy Called Bat / Elana K. Arnold.
9780062484963,ocn999440525,Positively Izzy / Terri Libenson.
9780062484970,ocn999440525,Positively Izzy / Terri Libenson.
9780062495693,on1007749896,Scream and scream again! : spooky stories from Mystery Writers of America / edited by R.L. Stine.
9780062560087,on1044745947,Nightbooks / J.A. White.
9780062573117,  2016023553,In the middle of fall / by Kevin Henkes ; illustrated by Laura Dronzek.
9780062573124,  2016023553,In the middle of fall / by Kevin Henkes ; illustrated by Laura Dronzek.
9780062640710,  2016952347,Beat bugs : Penny Lane / adapted by Cari Meister.
9780062644558,  2018025851,Look / Fiona Woodcock.
9780062662378,ocn964450826,Hidden figures : the untold true story of four African-American women who helped launch our nation into space / Margot Lee Shetterly.
9780062662385,ocn964450826,Hidden figures : the untold true story of four African-American women who helped launch our nation into space / Margot Lee Shetterly.
9780062665867,  2017034537,Where the watermelons grow : a novel / by Cindy Baldwin.
9780062675248,012419152001,Pete and the Cat's - Groovy Bake Sale / James Dean.
9780062683120,on1046450036,Bigger than you / Hyewon Kyung.
9780062798251,in901741588,Chez Nancy / adapted by Nancy Parent ; illustrations by the Disney Storybook Art Team.
9780062798275,in901753104,Nancy's ghostly Halloween / adapted by Krista Tucker ; illustrated by the Disney Storybook Art Team.
9780062852151,on1034014218,The last musketeer / Stuart Gibbs.
9780062888648,in901741588,Chez Nancy / adapted by Nancy Parent ; illustrations by the Disney Storybook Art Team.
9780064400206,csp00014608,Sounder / by William H. Armstrong ; illustrations by James Barkley.
9780064401494,  2007014479,"Hello, Mrs. Piggle-Wiggle / Betty MacDonald ; illustrations by Alexandra Boiger."
9780064403825,bt 99012031,Old Yeller / Fred Gipson.
9780064405782,bt 98014430,Wringer / Jerry Spinelli.
9780064407663,bt2004106745,The bad beginning / by Lemony Snicket ; illustrations by Brett Helquist.
9780064407670,bt2004106740,The reptile room / by Lemony Snicket ; illustrations by Brett Helquist.
9780064407687,bt 99018371,The wide window / by Lemony Snicket ; illustrations by Brett Helquist.
9780064407694,   99042695,The miserable mill / by Lemony Snicket ; illustrations by Brett Helquist.
9780064408639,   00024349,The austere academy / by Lemony Snicket ; illustrations by Brett Helquist.
9780064408646,   00044950,The ersatz elevator / by Lemony Snicket ; illustrations by Brett Helquist.
9780064408653,   00053511,The vile village / by Lemony Snicket ; illustrations by Brett Helquist.
9780064408660,  2001024326,The hostile hospital / by Lemony Snicket ; illustrations by Brett Helquist.
9780064410120,  2002008337,The carnivorous carnival / by Lemony Snicket ; illustrations by Brett Helquist.
9780064410137,  2003013267,The slippery slope / by Lemony Snicket ; illustrations by Brett Helquist.
9780064410144,bt2004105267,The grim grotto / by Lemony Snicket ; illustrations by Brett Helquist.
9780064410151,bt2005020135,The penultimate peril / by Lemony Snicket ; illustrations by Brett Helquist.
9780064410168,  2006019518,The end / by Lemony Snicket ; illustrations by Brett Helquist.
9780064421737,bt2004001374,"Stanley, flat again! / by Jeff Brown ; pictures by Scott Nash."
9780064430067,fxc87004479,A baby sister for Frances / by Russell Hoban ; pictures by Lillian Hoban.
9780064430203,in900044854,Mr. Rabbit and the lovely present / by Charlotte Zolotow ; pictures by Maurice Sendak.
9780064430562,in900140394,Just us women / by Jeannette Caines ; illustrated by Pat Cummings.
9780064430593,bt 06996524,"I have a sister, my sister is deaf / by Jeanne Whitehouse Peterson ; pictures by Deborah Ray."
9780064430876,in900013139,Chanticleer and the fox / adapted from Geoffrey Chaucer's Canterbury Tales ; and illustrated by Barbara Cooney.
9780064430968,bt 09168592,Bread and jam for Frances / by Russell Hoban ; pictures by Lillian Hoban.
9780064431279,in900035573,Do you want to be my friend? / by Eric Carle.
9780064431620,ocm26043366,The mixed-up chameleon / by Eric Carle.
9780064431712,bt 07996614,Shoes / by Elizabeth Winthrop ; illustrated by William Joyce.
9780064431781,ocn825007979,Where the wild things are / story and pictures by Maurice Sendak.
9780064431910,in900155260,The happy day / by Ruth Krauss ; pictures by Marc Simont.
9780064431941,in900098281,The storm book / story by Charlotte Zolotow ; pictures by Margaret Bloy Graham.
9780064432771,in500004851,Africa dream / by Eloise Greenfield ; illustrated by Carole Byard.
9780064433419,bt 09246265,I need a lunch box / by Jeannette Caines ; pictures by Pat Cummings.
9780064433488,bt 09306648,Leo the late bloomer / by Robert Kraus ; pictures by Jose Aruego.
9780064434010,in900034399,"Se venden gorras : la historia de un vendedor ambulante, unos monos y sus travesuras / relatado e ilustrado por Esphyr Slobodkina ; traducido por Teresa Mlawer."
9780064434393,   91046043,Brown honey in broomwheat tea : poems / by Joyce Carol Thomas ; illustrated by Floyd Cooper.
9780064434478,bt 09667874,Coat of many colors / Dolly Parton ; illustrated by Judith Sutton.
9780064434508,   95026581,The grouchy ladybug / Eric Carle.
9780064434515,   94043809,Bedtime for Frances / by Russell Hoban ; pictures by Garth Williams.
9780064435017,bt 98004681,Home sweet home / Jean Marzollo ; illustrated by Ashley Wolff.
9780064435048,bt 98007155,Prairie day : adapted from the Little house books by Laura Ingalls Wilder / illustrated by Renee Graef.
9780064435093,   95035323,Going home / by Eve Bunting ; illustrated by David Diaz.
9780064436021,ocn183334339,I love you! a bushel & a peck / words and music by Frank Loesser ; pictures by Rosemary Wells.
9780064436168,bl2003009660,Biscuit goes to school / by Alyssa Satin Capucilli ; pictures by Pat Schories.
9780064440011,bt 08987463,A bargain for Frances / by Russell Hoban ; pictures by Lillian Hoban.
9780064440042,bl 99723088,Little bear / by Else Holmelund Minarek ; pictures by Maurice Sendak.
9780064440134,bt 05080650,Mouse tales / by Arnold Lobel.
9780064440141,bt 05080569,Father Bear comes home / by Else Holmelund Minarik ; pictures by Maurice Sendak.
9780064440202,in900044106,Frog and Toad are friends / by Arnold Lobel.
9780064440233,bt 98012162,Little Bear's visit / by Else Holmelund Minarik ; pictures by Maurice Sendak.
9780064440318,bt 06621882,Daniel's duck / Clyde Robert Bulla ; pictures by Joan Sandin.
9780064440325,bt 06621775,Arthur's pen pal / story and pictures by Lillian Hoban.
9780064440417,bl 99934572,Mouse soup / by Arnold Lobel.
9780064440462,fxc95009174,"And I mean it, Stanley [sound recording]"
9780064440509,bt 08552234,A kiss for Little Bear / by Else Holmelund Minarik ; pictures by Maurice Sendak.
9780064440516,bt 00004770,Little Bear's friend / by Else Holmelund Minarik ; pictures by Maurice Sendak.
9780064440585,fxc93009270,Days with Frog and Toad [sound recording]
9780064440592,csp00014675,Frog and Toad all year / by Arnold Lobel.
9780064440851,mtg00082886,A picture for Harold's room / (paper)
9780064441070,bt 07599939,"Sam, the minuteman / by Nathaniel Benchley ; pictures by Arnold Lobel."
9780064441414,bl 99705532,The Boston coffee party / Doreen Rappaport ; pictures by Emily Arnold McCully.
9780064441445,bt 08485815,Greg's microscope. Pictures by Arnold Lobel.
9780064441711,bt 09289745,"Thank you, Amelia Bedelia / story by Peggy Parish ; pictures by Barbara Siebel Thomas, based on the original drawings by Fritz Siebel."
9780064442114,bt 00002057,Sid and Sam / by Nola Buck ; pictures by G. Brian Karas.
9780064442626,bt 99012975,Last one in is a rotten egg / Leonard Kessler.
9780064442763,bt2010016941,"Chicken said, ""Cluck!"" / by Judyann Ackerman Grant ; pictures by Sue Truesdell."
9780064461207,ocm47047806,Now is your time! : the African-American struggle for freedom / Walter Dean Myers.
9780064462341,bt 90007792,Pioneer girl : the story of Laura Ingalls Wilder / by William Anderson ; illustrated by Dan Andreasen.
9780064462471,bt2002016771,"Bigger, better, best! / by Stuart J. Murphy ; illustrated by Marsha Winborn."
9780064467032,in900128769,A pair of socks / by Stuart J. Murphy ; illustrated by Lois Ehlert.
9780064473361,in900063613,Dark lord of Derkholm / Diana Wynne Jones.
9780066238371,ocm49695242,Grandpa & Bo / Kevin Henkes.
9780066238388,ocm49695242,Grandpa & Bo / Kevin Henkes.
9780066239194,  2001024326,The hostile hospital / by Lemony Snicket ; illustrations by Brett Helquist.
9780071419321,  2004053870,"Side by side. Spanish & English grammar / Edith R. Farrell and C. Frederick Farrell, Jr."
9780136470335,   90046120,"Physical education curriculum activities kit for grades K-6 / Keg Wheeler, Otto H. Spilker."
9780136656135,   89049664,Physical fitness games & activities kit / Mary Kotnour ; illustrated by Leslie Landwehr.
9780140345353,   90033007,The devil's arithmetic / by Jane Yolen.
9780140365498,bt 09252693,Tales of Oliver Pig / Jean Van Leeuwen ; pictures by Arnold Lobel.
9780140381139,in900017442,Fox outfoxed / by James Marshall.
9780140383492,   96040057,The Cow in the house / retold by Harriet Ziefert ; illustrated by Emily Bolam.
9780140385526,bt 09969130,Horrible Harry in room 2B / by Suzy Kline ; pictures by Frank Remkiewicz.
9780140389647,in900034914,The friendship / Mildred D. Taylor ; pictures by Max Ginsburg.
9780140501698,in900032982,Blueberries for Sal / by Robert McCloskey.
9780140501728,ocm54784066,Crow boy [sound recording] / by Taro Yashima.
9780140501780,in900097739,Play with me / story and pictures by Marie Hall Ets.
9780140501827,   76028805,The snowy day / Ezra Jack Keats.
9780140502022,   76050644,Whistle for Willie / Ezra Jack Keats.
9780140502114,bt 04097036,Arrow to the sun : a Pueblo Indian tale / adapted and illustrated by Gerald McDermott.
9780140502343,bt 08904930,The story of Ferdinand / by Munro Leaf ; illustrated by Robert Lawson.
9780140502404,   77008435,Umbrella / by Taro Yashima.
9780140502886,bt 06419675,Norman the doorman / by Don Freeman.
9780140503258,bt 00012914,Just me / written and illustrated by Marie Hall Ets.
9780140504415,   83008008,Ox-cart man / by Donald Hall ; illustrated by Barbara Cooney.
9780140507294,   86025473,"The glorious flight : across the Channel with Louis Bleriot, July 25, 1909 / Alice and Martin Provensen."
9780140508918,bt 08012809,The snail's spell / by Joanne Ryder ; pictures by Lynne Cherry.
9780140544510,bt 98002168,The true story of the 3 little pigs / by A. Wolf ; as told to Jon Scieszka ; illustrated by Lane Smith.
9780140546521,in900153623,Jambo means hello : Swahili alphabet book / by Muriel Feelings ; pictures by Tom Feelings.
9780140547443,bt 00002136,The day the teacher went bananas / by James Howe ; illustrated by Lillian Hoban.
9780140547450,bt2003012702,Deep in the forest / by Brinton Turkle.
9780140547535,in900036202,The funny little woman / retold by Arlene Mosel ; pictures by Blair Lent.
9780140549058,csp00001626,Why mosquitoes buzz in people's ears [sound recording (CD kit)] / book by Verna Aardema and Leo & Diane Dillon.
9780140552836,in900056040,Un bolsillo para Corduroy / texto e ilustraciones de Don Freeman.
9780140555066,bt 09522269,Watch the stars come out / Riki Levinson ; illustrated by Diane Goode.
9780140557589,in900034396,La verdadera historia de los tres cerditos! / por S. Lobo ; segun se la contaron a Jon Scieszka ; ilustrada por Lane Smith.
9780140557619,bt 09717836,Madeline / texto e ilustraciones de Ludwig Bemelmans ; traduccion de Ernesto Livon Grosman.
9780140557749,bt 98013237,Zoom / Istvan Banyai.
9780140562255,bt 09979493,Abuela / by Arthur Dorros ; illustrated by Elisa Kleven.
9780140562262,in900053956,Abuela / por Arthur Dorros ; ilustrado por Elisa Kleven ; traducido por Sandra Marulanda Dorros.
9780140562330,bt 00010849,The fortune-tellers / by Lloyd Alexander ; illustrated by Trina Schart Hyman.
9780140562736,bt2001012926,Miss Bindergarten gets ready for kindergarten / by Joseph Slate ; illustrated by Ashley Wolff.
9780140564853,bt 99012192,"ABC, I like me! / by Nancy Carlson."
9780140565072,bt 99010214,Apt. 3 / Ezra Jack Keats
9780140565416,in900056165,La isla / por Arthur Dorros ; ilustrado por Elisa Kleven ; traducido por Sandra Marulanda Dorros.
9780140566475,   00268561,Madeline and the gypsies / by Ludwig Bemelmans.
9780140566543,in900056069,La silla de Pedro / Ezra Jack Keats ; traducido por Maraia A.? Fiol.
9780140567236,bt 90020960,It's going to be perfect! / by Nancy Carlson.
9780140567274,in900097737,Max's dragon shirt / Rosemary Wells.
9780140567427,in900174355,Timothy goes to school / Rosemary Wells.
9780140567502,ocm45631893,Bunny money / Rosemary Wells.
9780141300122,bt 90006691,Young Cam Jansen and the ice skate mystery / by David A. Adler ; illustrated by Susanna Natti.
9780141300825,bt 98011089,Horrible Harry and the ant invasion / by Suzy Kline ; pictures by Frank Remkiewicz.
9780142300046,ocm48087502,Morris's disappearing bag / Rosemary Wells.
9780142300206,in900101137,Young Cam Jansen and the pizza shop mystery / by David A. Adler ; illustrated by Susanna Natti.
9780142301890,bt2002021236,The Little Red Hen (makes a pizza) / retold by Philemon Sturges ; illustrated by Amy Walrod.
9780142301968,bt2003000656,Gregory's Shadow / Don Freeman.
9780142400104,bt2004109032,"Cam Jansen, the mystery of the stolen diamonds / David A. Adler ; illustrated by Susanna Natti."
9780142400128,bt2005000056,The mystery of the dinosaur bones / David A. Adler ; illustrated by Susanna Natti.
9780142400166,bt2004108793,"Cam Jansen, the mystery of the circus clown / David A. Adler ; illustrated by Susanna Natti."
9780142400333,in900133024,Chato y los amigos pachangueros / Gary Soto ; ilustrado por Susan Guevara ; traducido por Teresa Mlawer.
9780142400739,012919080441,Sun Bread / Elisa Kleven.
9780142400760,in900153390,Things not seen / Andrew Clements.
9780142402870,bt2005007776,"Cam Jansen, the ghostly mystery / David A. Adler ; illustrated by Susanna Natti."
9780142402894,bt2005008766,"Cam Jansen, the catnapping mystery / David A. Adler ; illustrated by Susanna Natti."
